"Name","Address","Group","Notes","Gender","Ethnicity","Date.Opened","Date.Closed","yrOpen","yrClose","decadeOpen","decadeClose","singleOut","lon","lat","decade"
"Keith's Theatre","619 15th St NW Washington DC","Community Site","The theatre was a favorite gathering place/hangout in the 20s, 30s, and 40s.  Jeb and Dash were often there.","M","","1914","1975","14","75",1910,1970,"",-77.0336162,38.898004,"pre1960"
"Lone Star Café/Beef House","504 9th St NW Washington DC","Club/Bar","Originally a steakhouse.  Reputedly the first place to offer nude male dancers.  Owner: Daniel Elias in 1965.","M","","1955","1986","55","86",1950,1980,"",-77.0239919,38.8965384,"pre1960"
"Naples Café","1209 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene.  A ""hustler bar"", The Terminal Hotel upstairs rented rooms by the hour.  Owned by Nick Papanicolas. ""But the Naples was there forever.  It was there when I arrived in DC in 1956.""--Franklin Kameny.    Listed at 1209 in the 50s but at 1227 (under the Terminal Hotel) in 1970s.  James Papanicolas took over after his father Nick died in 1971.  In 1980, Eddie Regina, a waiter was charged by the FBI with trying to blackmail former congressman Robert Bauman.  After Naples closed, Papanicolas opened JP’s on Wisconsin Avenue.  (See entries for Famous Faces, Famous Restaurant, JP’s.)","M","","12/1/1955","Sep-85","55","85",1950,1980,"",-77.0284763,38.900673,"pre1960"
"Naples Café","1227 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene.  A ""hustler bar"", The Terminal Hotel upstairs rented rooms by the hour.  Owned by Nick Papanicolas. ""But the Naples was there forever.  It was there when I arrived in DC in 1956.""--Franklin Kameny.    Listed at 1209 in the 50s but at 1227 (under the Terminal Hotel) in 1970s.  James Papanicolas took over after his father Nick died in 1971.  In 1980, Eddie Regina, a waiter was charged by the FBI with trying to blackmail former congressman Robert Bauman.  After Naples closed, Papanicolas opened JP’s on Wisconsin Avenue.  (See entries for Famous Faces, Famous Restaurant, JP’s.)","M","","12/2/1955","Oct-85","55","85",1950,1980,"",-77.0287596,38.9005757,"pre1960"
"Pink Elephant","436 11th St NW Washington DC","Club/Bar","Bar at the Hotel Harrington known as a place where hustlers and their clients met.","M","","1956","1982","56","82",1950,1980,"",-77.0276735,38.8959519,"pre1960"
"Strand Theatre","811 D St NW Washington DC","Community Site","The Strand became a cruising theatre in its later days.","M","","1939","1965","39","65",1930,1960,"",-77.0236161,38.8947922,"pre1960"
"Cecelia's Restaurant","618 T St NW Washington DC","Club/Bar","It was across from the Howard Theatre, part of the African-American theatre district, and a place to see the stars.  "" It was the place to see all the artists""--Juicy Coleman.  Owner:  Mary Barnes.","MW","African-American","1954","1968","54","68",1950,1960,"",-77.020795,38.9152926,"pre1960"
"Kenyon Bar & Grill","3119 Georgia Ave NW Washington DC","Club/Bar","The Kenyon was a popular after-hours gathering place, cruising place.  Owner: Maurice Newsome in the 50s, Stanley Gimble in the 60s.  One of the places lost in the fires of April 1968.","MW","African-American","1959","1968","59","68",1950,1960,"",-77.023044,38.929724,"pre1960"
"Annie's Paramount Steak House","1519 17th St NW Washington DC","Club/Bar","Originally known as Paramount Steakhouse until the 1960s.  A favorite restaurant hangout on 17th St strip","MW","","1948","Sep-85","48","85",1940,1980,"",-77.0381514,38.910472,"pre1960"
"Cairo Ballroom","1615 Q St NW Washington DC","Club/Bar","Known in the 50s/60s for after hour dances organized by Black Pearl  (Ken White) at the Cairo Hotel.","MW","","1951","1962","51","62",1950,1960,"",-77.0373711,38.9113588,"pre1960"
"California Brick Kitchen","1234 Connecticut Ave NW Washington DC","Club/Bar","After-hours cruise spot.  Became known as California Kitchen in 1955.  Added H St locations.  Connecticut Ave location became the Copper skillet about 1962.  ""There was an all night cafeteria nearby [Lafayette Square and the Chicken Hut] on the Southwest corner of Pennsylvania and 18th Street, which, while certainly not gay, got lots and lots of gay customers in the late evenings and into the early mornings, as people left those two bars and wanted a bite to eat .""--Franklin E Kameny.  Description appears in the novella Summer Awakening (1968) by Bruce King.","MW","","1942","1962","42","62",1940,1960,"",-77.0419513,38.90693,"pre1960"
"Crescent Café","1338 New York Ave NW Washington DC","Club/Bar","Moved to NY Ave location in mid-50s","MW","","1954","1970","54","70",1950,1970,"",-77.0313573,38.8995513,"pre1960"
"Paramount Steak House","1519 17th St NW Washington DC","Club/Bar","Annie's was originally known as Paramount Steakhouse until the 1960s.  A favorite restaurant hangout on 17th St strip.  (See also entries for Annie’s Paramount Steak House.)","MW","","1948","Sep-85","48","85",1940,1980,"",-77.0381514,38.910472,"pre1960"
"Uptown Restaurant & Cocktail Lounge","3433 Connecticut Ave NW Washington DC","Club/Bar","""It was upstairs over one of the restaurants in that strip across from the [Uptown] theatre.  It was short-lived.  The residents objected to it.  The management tried to push the envelope for that day, and had a floor show which the vice squad (probably 'sicced' onto them by the neighbors) found obscene--although no one would think twice about it today--it was raided--the 'other gay bar raid [the Gayety was the first gay place raided]… Performers were arrested.  It closed. Finis.""--Franklin E Kameny.  The impresario of the club, Bill Frey, began a costume ball which later became the Miss Gaye America pageant in the Academy.  The 1978 International Guild Guide lists this location as the site of the Desert Inn Club, a “private male massage parlor.”","MW","","1943","1971","43","71",1940,1970,"mpdRaid",-77.0579736,38.9353295,"pre1960"
"Zombies Restaurant","5828 Georgia Ave NW Washington DC","Club/Bar","A mixed crowd but primarily women.  Zombies courted the gay women's' business and then the straight crowd.  In the early 70s the owners tried to discourage lesbian customers but lost business and returned to encouraging lesbian customers.  Owners: James and Pearl Lake.","W","","1956","Oct-84","56","84",1950,1980,"",-77.0282638,38.9608627,"pre1960"
"Bobs-Inn Restaurant","3316 14th St NW Washington DC","Club/Bar","Bobs-Inn was across the street from the Tivoli Theatre at Park Rd.  Advertised ""rock-n roll nightly"".  First performance home of Avis Pendavis (graduate of Dunbar and GWU), who went on to NYC and created Harlem’s House of Pendavis.  Shows featured Avis and Peaches.  Popular nightspot in the 1960s.  Owner James E Powell.","","African-American","1954","1968","54","68",1950,1960,"",-77.0330396,38.9307566,"pre1960"
"Boston Buffet","417 9th St NW Washington DC","Club/Bar","Across the street from Carroll’s, a popular restaurant and bar known for its cheap drinks, with peanut shells on the floor.  The bouncer, Donna, was a “tough diesel dyke”—Kip.  Owned by Spiro Dides.","","","1954","1973","54","73",1950,1970,"",-77.0239953,38.8955851,"pre1960"
"Saunders Health Center","2105 12th St NW Washington DC","Club/Bar","Reportedly a gay-friendly health club which started as a Turkish bath in 1954.","","","1954","1975","54","75",1950,1970,"",-77.027964,38.9183908,"pre1960"
"Silver Fox","5324 Wisconsin Ave NW Washington DC","Club/Bar","Owner John Dracopoulos","","","1956","1974","56","74",1950,1970,"",-77.0853897,38.960105,"pre1960"
"Terminal Hotel","1225 New York Ave Washington DC","Club/Bar","Hotel rooms above the Naples Café rented by the hour for 'short term assignations'.   Used by gay sex workers.  Owner:  Nick Papanicolas","","","1955","1985","55","85",1950,1980,"",-77.0287163,38.900822,"pre1960"
"Hubbard House","1900 M St NW Washington DC","Club/Bar","Restaurant frequented by gay men, after hours club. Originally part of a chain with five restaurants.  The  M St location opened about 1964. Rob Adams manager.","M","","1964","1974","64","74",1960,1970,"",-77.0438864,38.905365,"1960"
"Brass Rail","811 13th St NW Washington DC","Club/Bar","Started out as ""New York style"" restaurant at 517 9th St NW in 1966.  On 13th St., started in the basement and didn't move upstairs until the late 60s. First address was 809 13th St. Later became 811 13th St NW. It was one of the main African-American drag bars.  It replaced what was originally a biker, then country/western basement bar.  Owners: Gus Papanicolas, Theo Christakos, Greg Cahill, G W Glenn in 1967.  Brass Rail had moved upstairs by 1973 when Gus Papadopoulos was running the place.  The Railettes were an in-house drag entertainment group.  Just Us:  “The Brass Rail is a downtown bar and restaurant near the downtown shopping areas and the bus terminals.  It has table seating for up to 100 people.  The crowd is male with mixed backgrounds.”","M","African-American","1961","1986","61","86",1960,1980,"",-77.0295885,38.9003187,"1960"
"Bus Stop Deli","1911 7th St NW Washington DC","Club/Bar","Part of the Georgia/Florida/U Street entertainment district.  A late night hangout.","M","African-American","1965","1968","65","68",1960,1960,"",-77.021679,38.91594,"1960"
"Checkmates Restaurant","3025 Naylor Rd SE Washington DC","Club/Bar","Checkmates was one of the first distribution points for the Gay Blade","M","African-American","1968","?","68","",1960,1960,"",-76.9647064,38.8537809,"1960"
"Cozy Corner Bar & Grill","708 Florida Ave NW Washington DC","Club/Bar","Florida Ave. at Georgia Ave., wouldn’t allow drags into the bar.  ""Largely African-American clientele, but whites who were interested in African-Americans would go there too.  It was upstairs, had a long bar, and was one of those places that looked like it could burn down easily.  ""--Brett Beemyn.  A long time hangout for the Howard University students, until the fires in April 1968.-Juicy Coleman.  Owner William Weaver and Walter Weaver.","M","African-American","1949","1968","49","68",1940,1960,"",-77.0222768,38.9164259,"1960"
"Nob Hill Restaurant","1101 Kenyon St NW Washington DC","Club/Bar","One of the longest continuously operating gay bars in the city, and one of the oldest African-American gay bars in the country.  Reportedly operated as private club from 1953-1957. ""Its start as a private club helps explain why it is located in a mostly residential neighborhood in Columbia Heights.""--Brett Beemyn.  Owners: James E. Jones, Leonard Kelly, Wayne Hill, Riley Campbell, and Robert Jones. Later bought by Robert Jones, who started here in 1981.  Hosted first AIDS forum in the African-American community.  One of the major sites for African-American drag shows.  Hosted male strip shows on weekends.","M","African-American","1957","2/1/2004","57","04",1950,2000,"nobHill",-77.0279377,38.9299362,"1960"
"Red Door","3530 Georgia Avenue Washington DC","Club/Bar","In the upper NW entertainment area before the April 1968 fires.  Gay-friendly jazz club.  Doris Allen performed here.  Owner: George Stonestreet.","M","African-American","1967","1969","67","69",1960,1960,"",-77.0242823,38.9339379,"1960"
"Dolly's Restaurant","1215 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene, with drag shows.  Glenn Turner, manager,  Sanford Bornstein, owner.  Just Us:  “Dolly’s features dancing, and both male and female go-go dancers.  Sunday brunch and monthly drag shows and contests are two of dolly’s attractions.  The patrons are mostly male, any age over 18, and about fifty percent gay… Admission is 50 cents weekdays and 75 cents weekends.”","M","Mixed","1969","1979","69","79",1960,1970,"",-77.0285191,38.9006583,"1960"
"1832 House","1832 Columbia Rd NW Washington DC","Club/Bar","Popular Adams Morgan club in the early 70s; chicken wire on the balcony 'screened' standing drinkers.  Owned/managed by Kirby Matson.","M","","1966","1973","66","73",1960,1970,"",-77.0431137,38.9217836,"1960"
"Ben Bow  Restaurant (The Admiral Ben Bow)","1636 Connecticut Avenue NW Washington DC","Club/Bar","Next to the Janus Theatre, a straight bar frequented by gays, sawdust on the floor.  First owner: Spirios Kyritis.  An Irish bar run by a woman named Ellen after 1970.  Sawdust and peanut shells on the floor.  Also called the ‘Bimbo”; it was a step down from other places.  Later called Ellen’s Irish Pub.","M","","1948","1980","48","80",1940,1980,"",-77.0453127,38.9121431,"1960"
"Boondocks Restaurant","818 K St NW Washington DC","Club/Bar","Offered ""Entertainment & dancing nightly.”  One of the first distributors of the Gay Blade.","M","","1969","1972","69","72",1960,1970,"",-77.0231463,38.9021076,"1960"
"Britt's Café","1211 Wisconsin Ave NW Washington DC","Club/Bar","A longtime after hours hangout, mixed straight and gay.  Owner: William Britt","M","","1928","1967","28","67",1920,1960,"",-77.0625877,38.9057089,"1960"
"Carroll Tavern","510 9th St NW Washington DC","Club/Bar","Carroll's ""catered to a particular gay taste for sailors, soldiers, and marines, and to the armed services' fancy for a free weekend of entertainment.""-Havilland Ferris. ""In contrast to the genteel atmosphere of Margaret's and Showboat was a bar on 9th street, a rough trade hangout.  Servicemen were very poorly paid at the time and many of them made very aggressive trade.""--Ladd Forrester.  ""On weekends the place was packed with servicemen from the Army, Marines, and especially the Navy.  A lot of servicemen went there to be picked up; civilians went there to pick them up and take them home for a weekend.  In a sense, you gave them room and board."" -- Brett Beemyn.  Owner: Solomon Chesivoir","M","","1934","1986","34","86",1930,1980,"",-77.0239915,38.8967633,"1960"
"Chicken Hut (Lafayette)","1720 H St NW Washington DC","Club/Bar","Named the Lafayette Chicken Hut to avoid infringing the name of a chain of local restaurants, but always known as the Chicken Hut. Ladd Forrester: ""Eventually the Chicken Hut opened across from Lafayette Square, drawing the pianist Howard away to play there instead.  Howard played there seven nights a week until one night, in the mid-1970s, he died at the bar's keyboard."" Behind the Roger Smith hotel.  ""It was the center of gay social life in the late 40s and 50s.  On Fridays and Saturdays, the place was 'packed to the rafters'.""--Brett Beemyn.  ""It was the Chicken Hut, at 1720 H St NW.  They had (bi?) weekly Sunday afternoon dances during the winter of 1961-62.  To the best of my knowledge, no special license was needed, but I'm not sure.""--Franklin E Kameny.","M","","1948","1970","48","70",1940,1970,"",-77.0405164,38.9002186,"1960"
"Derby Room Restaurant","1801 H Street NW Washington DC","Club/Bar","A popular gathering place in the late 50s and early 60s. ""I recall the Derby Room, at the northwest corner of 18th and H, as opening shortly after I arrived [September 1956].  The Chicken Hut was long there.  I was a frequent customer -- a ""regular"" -- at both, often going back and forth, and was there almost nightly into the early 1960s.  …It opened late in the 1950s and for many years was one of THE Washington gay bars.""--Franklin Kameny","M","","1954","1962","54","62",1950,1960,"",-77.0420107,38.9004804,"1960"
"Dobkins Grille","1104 8th St SE Washington DC","Club/Bar","""It was another singing bar.  They had a woman with a wonderful voice named Ruby who led the singing.  The waitresses would also sing.  Dobkins had a regular clientele.  People went to Dobkins either to be with friends or to pick up Marines.  'If you went into Dobkins off the street, just to get a drink, you would leave there in five minutes.  It was absolutely a hideous bar'.""--Brett Beemyn.  Owners:  Melvin Dobkins and Mary Schechter.  (See also entry for Bachelor’s Mill.)","M","","1949","1962","49","62",1940,1960,"",-76.994665,38.877214,"1960"
"Fox Lounge","3553 Mt Pleasant St NW Washington DC","Club/Bar","Mixed genders, mostly African-American and Latino club in Mt Pleasant area.  Alley area behind it was 'notorious'.  Owner: Mrs. Frances Fox.  Just Us:  “Serving meals, sandwiches and drinks in a lounge atmosphere, the Fox Lounge is predominantly a black male-oriented bar for people over 21.  Music is provided by a jukebox.  No dancing, no cover.”","M","","1958","1972","58","72",1950,1970,"",-77.0399696,38.935465,"1960"
"Gayety Buffet","511 9th St NW Washington DC","Club/Bar","A gathering place/hangout next to the Gayety Theatre (which became a porn theatre).  The Gayety has the distinction of being one of the two gay places ever raided by the Metropolitan Police (the other was the Uptown Restaurant).  Owner George Saslaw.","M","","1952","1964","52","64",1950,1960,"mpdRaid",-77.0239916,38.8966816,"1960"
"Georgetown Grill","1239 Wisconsin Ave NW Washington DC","Club/Bar","The Georgetown Grill was a gay haven in the 60s and the 70s.  Late night cruise spot.  Owner George Karafas.  Sold in 1977 to Au Pied du Cochon.  The Grill was also a performance space for the popular Red Shoes Walking troupe.  Judy, the very popular waitress/bartender, started working here in 1964 (she later worked at the Court Jester, Onyx, Cy's, and the Fireplace).  Just Us:  “One of DC’s standard gay bars, the Grill (or affectionately, Greta’s) features a jukebox in a crowded but quiet atmosphere which is easy for talking.  Drinks are notably reasonably priced.  A fine place to spend a weekend afternoon ‘window shopping’ the passersby on crowded Wisconsin Avenue, the heart of the Georgetown shopping district.  No cover, reservations, or dancing, but a steady regular crowd of loyal patrons, tourists, and college students, mostly male and all gay.  The ever popular Block is nearby.”","M","","1948","Feb-77","48","77",1940,1970,"",-77.0625875,38.9060842,"1960"
"Golden Calf","1133 14th St NW Washington DC","Club/Bar","On Thomas Circle.  Blade 1970: ""We'll miss the Calf, and will remember it and Billie with warm feelings.""  Owner: Morris Katz","M","","1963","May-70","63","70",1960,1970,"",-77.0315774,38.9047062,"1960"
"Hideaway","303 9th St NW Washington DC","Club/Bar","Also known as Lou's Hide-a-way. Leather bar.  Dr Franklin Kameny recalls, ""The building was at the corner of 9th and Pennsylvania and a street which came in at an angle and no longer exists, but was called Market Place and was an extension, at substantially the same angle, of Indiana Avenue …The entrance to the Hideaway was on 9th Street, and then downstairs; the bar was entirely in the basement of that building.  I believe that the Hideaway was still in operation when the FBI building opened, and I remember hearing stories of FBI agents and other FBI employees having lunch there, before it shifted over, each day, for its evening gay operation.""  Just Us:  “A small discotheque in its twelfth year of operation, the Hideaway has intimate tables, shuffleboard, pinball machines, and a jukebox for dancing.  This all contributes to its easy-going atmosphere.  Do cover, no reservations for this predominantly male and highly mixed bar.  One of DC’s standards.  Downstairs from Louie’s and the Barn.”  Out:  “D.C.’s grooviest corner.”","M","","1963","1983","63","83",1960,1980,"",-77.0239881,38.8940979,"1960"
"Jimmie Lake’s","421 9th St NW Washington DC","Club/Bar","Was a hangout after work for the strippers who worked at the 9th St","M","","1954","1969","54","69",1950,1960,"",-77.0239951,38.8956109,"1960"
"Johnnie's","500 8th St SE Washington DC","Club/Bar","Johnnie's was known for its year-round Christmas tree lights and decorations.  ""A singing bar.  Johnnie's had a mixed working-class and middle-class clientele.""--Brett Beemyn.  ""Johnny's goes way back.  It was here when I arrived in 1956, and those permanent Christmas decorations were there then""—Franklin Kameny.  “In addition to the tables, there were some booths along the sides.  The dance floor was in the back corner.  It also served as the stage for the monthly contest” –Peter Jefts.  It was nicknamed the “Tinsel Palace”. Owners: John & Josephine Nocente.","M","","1949","1974","49","74",1940,1970,"",-76.9947021,38.8825763,"1960"
"Keith's Theatre","619 15th St NW Washington DC","Community Site","The theatre was a favorite gathering place/hangout in the 20s, 30s, and 40s.  Jeb and Dash were often there.","M","","1914","1975","14","75",1910,1970,"",-77.0336162,38.898004,"1960"
"Lone Star Café/Beef House","504 9th St NW Washington DC","Club/Bar","Originally a steakhouse.  Reputedly the first place to offer nude male dancers.  Owner: Daniel Elias in 1965.","M","","1955","1986","55","86",1950,1980,"",-77.0239919,38.8965384,"1960"
"Louis's","301, 303, 305 9th St NW Washington DC","Club/Bar","The original entrance was on 9th St at Penn. Louis' (or Louie's) Lounge was a complex of bars on 9th St, with a different ‘personality’ on each level.  Louis' lounge was at street level and had a dining room; the basement bar was The Hideaway, more leather and motorcycle oriented and home to the Druids MC; upstairs was the country-western Barn bar.  When the FBI area was redeveloped, Louis and the Rogue moved to 5th & K St NW.  The Just Us review (1975):  “Louie’s is a Western and leather bar for men.  Open during the day, it is gay only in the evenings… Food is served.  There is no cover or minimum.  Druid Club night is Tuesday.  The Barn is upstairs, the Hideaway is downstairs.”  Owner: Louis Glinos (Galenos?), also owned boarding house and a restaurant on 7th St NW.","M","","1965","1968","65","68",1960,1960,"",-77.0239879,38.8940836,"1960"
"Louis's","303 9th St NW Washington DC","Club/Bar","The original entrance was on 9th St at Penn. Louis' (or Louie's) Lounge was a complex of bars on 9th St, with a different ‘personality’ on each level.  Louis' lounge was at street level and had a dining room; the basement bar was The Hideaway, more leather and motorcycle oriented and home to the Druids MC; upstairs was the country-western Barn bar.  When the FBI area was redeveloped, Louis and the Rogue moved to 5th & K St NW.  The Just Us review (1975):  “Louie’s is a Western and leather bar for men.  Open during the day, it is gay only in the evenings… Food is served.  There is no cover or minimum.  Druid Club night is Tuesday.  The Barn is upstairs, the Hideaway is downstairs.”  Owner: Louis Glinos (Galenos?), also owned boarding house and a restaurant on 7th St NW.","M","","1965","1968","65","68",1960,1960,"",-77.0239881,38.8940979,"1960"
"Louis's","305 9th St NW Washington DC","Club/Bar","The original entrance was on 9th St at Penn. Louis' (or Louie's) Lounge was a complex of bars on 9th St, with a different ‘personality’ on each level.  Louis' lounge was at street level and had a dining room; the basement bar was The Hideaway, more leather and motorcycle oriented and home to the Druids MC; upstairs was the country-western Barn bar.  When the FBI area was redeveloped, Louis and the Rogue moved to 5th & K St NW.  The Just Us review (1975):  “Louie’s is a Western and leather bar for men.  Open during the day, it is gay only in the evenings… Food is served.  There is no cover or minimum.  Druid Club night is Tuesday.  The Barn is upstairs, the Hideaway is downstairs.”  Owner: Louis Glinos (Galenos?), also owned boarding house and a restaurant on 7th St NW.","M","","1965","1968","65","68",1960,1960,"",-77.0239884,38.8941121,"1960"
"Louie’s","811 Pennsylvania Ave NW Washington DC","Club/Bar","Second address for Louis, but same building as above.","M","","1968","Aug-83","68","83",1960,1980,"",-77.0238407,38.8938418,"1960"
"Lucy's","1800 Adams Mill Rd Washington DC","Club/Bar","A gay-friendly bar (per Juicy Coleman) in the pre-1968 African-American gay circuit","M","","?","1968 (?)","","68",1960,1960,"",-77.042768,38.9229087,"1960"
"Naples Café","1209 New York Ave NW Washington DC","Club/Bar","Part of the bus station scene.  A ""hustler bar"", The Terminal Hotel upstairs rented rooms by the hour.  Owned by Nick Papanicolas. ""But the Naples was there forever.  It was there when I arrived in DC in 1956.""--Franklin Kameny.    Listed at 1209 in the 50s but at 1227 (under the Terminal Hotel) in 1970s.  James Papanicolas took over after his father Nick died in 1971.  In 1980, Eddie Regina, a waiter was charged by the FBI with trying to blackmail former congressman Robert Bauman.  After Naples closed, Papanicolas opened JP’s on Wisconsin Avenue.  (See entries for Famous Faces, Famous Restaurant, JP’s.)","M","","12/1/1955","Sep-85","55","85",1950,1980,"",-77.0284763,38.900673,"1960"
